ID,Organisation,Sector,Subsector,Services Provided,Province,Municipality,Barangay,Status,Beneficiaries,Beneficiary Type,,,,,,,,,
346,ICRC,Relief,Food Items,Food Items (15-days Ration),1536,153603,Tantua Raya,Finished,675,packs,,,,,,,,,
347,ICRC,Relief,Non-Food Items,Sleeping Kit (Blanket),1536,153603,Tantua Raya,Finished,675,pcs,,,,,,,,,
348,ICRC,Relief,Non-Food Items,Sleeping Kit (Mosquito Net),1536,153603,Tantua Raya,Finished,675,pcs,,,,,,,,,
349,ICRC,Relief,Non-Food Items,Sleeping Kit (Mat),1536,153603,Tantua Raya,Finished,675,pcs,,,,,,,,,
350,ICRC,WASH,Non-Food Items,Hygiene Kit,1536,153603,Tantua Raya,Finished,675,pcs,,,,,,,,,
351,ICRC,WASH,Non-Food Items,Jerry Can (20L),1536,153603,Tantua Raya,Finished,675,pcs,,,,,,,,,
352,ICRC,Relief,Non-Food Items,Kitchen Set,1536,153603,Tantua Raya,Finished,675,set,,,,,,,,,
4,Philippine Red Cross,Relief,Hot Meals,Hot Meals,1035,103502,West Poblacion,Finished,340,individuals,,,,,,,,,
24,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,58,individuals,,,,,,,,,
27,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,10,individuals,,,,,,,,,
31,Philippine Red Cross,Health,Health,BP Taking,1035,103502,West Poblacion,Finished,117,individuals,,,,,,,,,
32,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,3,individuals,,,,,,,,,
33,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,Balut,Finished,1,individual,,,,,,,,,
38,Philippine Red Cross,Health,Health,First Aid Station,1035,103502,West Poblacion,Finished,1,station,,,,,,,,,
44,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
52,Philippine Red Cross,Health,Health,BP Taking,1035,103502,West Poblacion,Finished,105,individuals,,,,,,,,,
55,Philippine Red Cross,Health,Health,First Aid,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
61,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
80,Philippine Red Cross,Relief,Food Items,Food Items (Assorted),1035,103502,West Poblacion,Finished,789,packs,,,,,,,,,
100,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
109,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,9,individuals,,,,,,,,,
120,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
128,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,15,individuals,,,,,,,,,
153,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
161,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,2,individuals,,,,,,,,,
184,Philippine Red Cross,Health,Health,BP Taking,1035,103502,West Poblacion,Finished,18,individuals,,,,,,,,,
188,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,123,individuals,,,,,,,,,
189,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
197,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,3,individuals,,,,,,,,,
199,Philippine Red Cross,Health,Health,First Aid Station,1035,103502,West Poblacion,Finished,1,station,,,,,,,,,
213,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,63,individuals,,,,,,,,,
215,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
238,Philippine Red Cross,Relief,Food Items,Food Items (Assorted),1035,103502,West Poblacion,Finished,115,packs,,,,,,,,,
239,Philippine Red Cross,WASH,Non-Food Items,Hygiene Kit (Assorted),1035,103502,West Poblacion,Finished,55,pcs,,,,,,,,,
245,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,3,individuals,,,,,,,,,
248,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,35,individuals,,,,,,,,,
251,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
